lambda1,Mi1,rho1,E[W1],E[Nq1],Lambda2,Mi2,rho2,E[W2],E[Nq2]
0.05,1,0.05,0.05263157895,0.002631578947,0.2,0.5,0.4,1.333333333,0.2666666667
0.1,1,0.1,0.1111111111,0.01111111111,0.2,0.5,0.4,1.333333333,0.2666666667
0.15,1,0.15,0.1764705882,0.02647058824,0.2,0.5,0.4,1.333333333,0.2666666667
0.2,1,0.2,0.25,0.05,0.2,0.5,0.4,1.333333333,0.2666666667
0.25,1,0.25,0.3333333333,0.08333333333,0.2,0.5,0.4,1.333333333,0.2666666667
0.3,1,0.3,0.4285714286,0.1285714286,0.2,0.5,0.4,1.333333333,0.2666666667
0.35,1,0.35,0.5384615385,0.1884615385,0.2,0.5,0.4,1.333333333,0.2666666667
0.4,1,0.4,0.6666666667,0.2666666667,0.2,0.5,0.4,1.333333333,0.2666666667
0.45,1,0.45,0.8181818182,0.3681818182,0.2,0.5,0.4,1.333333333,0.2666666667
0.5,1,0.5,1,0.5,0.2,0.5,0.4,1.333333333,0.2666666667
0.55,1,0.55,1.222222222,0.6722222222,0.2,0.5,0.4,1.333333333,0.2666666667
0.6,1,0.6,1.5,0.9,0.2,0.5,0.4,1.333333333,0.2666666667
